contract_id|policyholder_id|start_date|end_date|cancel_reason
tRrD-31297749|pSypUjA|2020-08-14||
ruft-63110478|wosjDdB|2021-05-02||
XcBC-78428427|cpsQzYA|2021-10-20||
VZgS-03701579|FlgXucg|2021-03-28||
HiCt-93985573|RBidyWw|2022-02-08||
XtgB-54247948|nzkbrBq|2021-03-26||
SPpB-61062701|MLFetrP|2022-02-01||
dTKu-89978177|GotyEvM|2021-11-14||
Eecy-00801621|TKdhGQd|2021-09-25||
nfPn-31492165|WMooLOX|2020-12-24||
FfbP-91583990|YUdBQLL|2020-08-19||
JQhP-96406516|POfmTZd|2022-03-13||
BpSY-11723074|ESSusYR|2021-04-16||
DbOT-98262691|jRWILcp|2020-06-17|2021-08-21|no_risk_for_theft
sXMZ-75057266|zGiYLEO|2021-02-08||
qVil-10699325|IvMtpxr|2022-03-19|2022-08-14|no_risk_for_theft
IemT-51593987|AudlKcx|2021-04-08||
tESI-00765173|FCqgFnp|2022-04-24||
ovgm-86270867|QiaDyFF|2021-12-24|2022-01-24 00:00:00|no_risk_for_theft
IxnA-61514985|cWpvAQM|2021-06-17||
MJAu-70328003|SGJgyaL|2021-03-24||
fNfH-24713323|xBgAjye|2021-06-14||
gQIi-39844240|bmvYVUY|2022-04-12||
UCNE-55728282|EWwhgrC|2021-04-02|2022-08-30|premium_not_paid
JKcg-70486439|oMTVcqo|2021-08-09||
gsUJ-48830580|ZeBURHy|2020-07-08||
hakJ-11782034|tUmZcqJ|2020-08-30||
jTkA-78384623|BbxAZAF|2022-02-01||
FWaH-78212652|qOlgZzL|2021-04-01||
ffrD-71797400|dSZvAwi|2021-11-28||
sSjC-19915911|XuuZGKp|2020-12-20||
TDmz-07219834|lmvBAPR|2021-12-02||
ynDK-74525124|chRVqmH|2020-11-18||
AUEQ-94560849|nFxLeem|2020-06-14||
Pzsu-02192581|utpdCnS|2021-01-11||
AfCA-20101914|wPYeXcS|2021-07-16||
JFbZ-54668702|UEEQHpy|2021-07-07||
gPZS-53798391|YfaMHhn|2020-05-21||
WDXr-71145607|iLWoPrh|2021-12-21||
FxrP-76395329|JfoJrRe|2021-11-20||
Xbqd-14920881|hUcJdrO|2022-03-17||
qLMs-19699491|WZgEvcg|2021-09-07||
cuwG-01257917|pxPfphh|2021-06-03||
yMOx-05724981|oWVZDYp|2022-01-14||
szTL-59735637|QLXXHGP|2021-09-13||
VlmH-54974317|egulvTv|2021-09-29||
EJrF-74283298|IOMVJQH|2021-05-04||
qKwT-20025675|owZvSgw|2021-06-26||
fHcG-35493276|VeImWFx|2022-03-01||
Qplk-17673356|OkGkxID|2022-01-21||
LOPr-34306702|EBKKTuN|2022-06-18||
JfXT-07265925|jektDvy|2021-07-23||
IZCX-90551081|OYTUtSz|2021-08-26|2021-09-26 00:00:00|no_risk_for_theft
UUzM-52846548|xUFQmJo|2021-10-29||
ELrz-29573274|vniiVyz|2020-11-19||
kMwl-86585286|KcgQXte|2022-04-17||
WXRy-14423997|BZzgWut|2021-03-21||
oEXO-28620289|XsZIufV|2020-08-07||
KprS-01369577|fTfnQuq|2020-07-15||
vlcl-91773852|RudZMua|2022-02-26||
BYzw-03244366|cAMVvsi|2022-06-05||
xSme-43689256|fqMGLFG|2021-10-12||
tQXq-43277080|pReysBQ|2021-10-01||
ofaz-76715570|sBdIKKw|2021-11-28||
CaxG-94867466|vihORBa|2020-07-01||
oGCK-36337739|hKkpNEX|2021-08-24||
lGrf-73809469|DXxygyH|2021-09-08||
IVAd-74256860|ATBByvr|2021-07-20||
ooJL-28801429|YuzYkij|2021-12-14||
mRfA-77242700|PVXNjJr|2021-10-28||
RwSP-43843230|EffYXsr|2021-09-09||
RgSH-32899714|OeANAlP|2021-07-04||
VUpu-92549867|uYqZXxf|2021-02-17||
BHzz-47673187|tUYZvBu|2021-02-19||
vVdt-85535567|xChESAr|2021-03-04||
dNZg-38690604|RXUwmSD|2020-11-03||
aeRy-20113225|AyTJqDC|2020-07-01||
gHts-16319644|hLVtVHa|2021-08-28||
UZIo-05879745|SFKBNSf|2021-07-27||
geRh-71937315|xLoFifC|2021-09-05||
jkSe-33446782|XQuWwPP|2020-12-26||
ZfWu-00693804|ASZLKgr|2020-05-29||
ZANH-59615630|BAdLfjb|2021-07-23||
NcsB-12577430|EzKQNYO|2022-02-04||
KPwO-92971870|dYHgzai|2021-11-05||
Zbqg-21213494|KXFlFEK|2020-12-19||
saAy-88414553|myJGEfu|2020-05-29||
qQHB-68194313|qArqRre|2021-11-07|2021-12-07 00:00:00|no_risk_for_theft
tcLY-74128470|VdvJbSc|2021-03-04||
LKHj-05324176|lSQvZVa|2022-05-31||
eYxg-61197314|EmAGJhq|2021-07-14||
nUtI-53464506|ywjIUWE|2021-11-18||
eRYq-46288581|dgHZYyk|2022-06-09|2022-07-09 00:00:00|premium_not_paid
qjYC-61845859|oGqAWQC|2022-03-18||
YkJl-68592858|RfDeaId|2022-04-19||
zlqo-84108771|fAnrbjS|2022-05-03||
qpVI-73121869|HLQpIeb|2021-08-07||
CRPt-69996488|UVbTTGp|2021-06-16||
zdLQ-42321389|BLMdMnG|2020-05-24||
CZGP-82873996|OteEtxb|2022-04-27||
YgGq-05985017|wiqgQCB|2022-04-06|2022-05-06 00:00:00|premium_not_paid
ALqy-28665421|OXjDFBq|2021-06-17||
RzUD-58754341|PvJEHPK|2020-11-06||
pkCt-83423720|kBKULRF|2021-08-22||
LedK-64169137|NKUsIxj|2022-06-24|2022-07-24 00:00:00|premium_not_paid
xXLZ-44965748|VXNJYIg|2022-01-16||
aWqC-10935006|bjwHjzP|2020-10-14|2022-09-03|no_risk_for_theft
rlGO-28162620|NgJUWiC|2020-11-23||
IFfN-71295989|dvoRGFi|2021-12-07||
ojLu-26311469|KRcNomi|2021-07-22||
LZoZ-98470799|fodXkxY|2022-01-11||
KqpA-21871779|hieruQe|2021-12-15||
nIQT-06572849|JdUhfQA|2021-06-16||
QBVK-44132651|YZuBpxp|2021-02-28||
HUKl-53496451|OruGbnu|2020-11-07||
EXfY-68844513|IciDDlP|2021-06-07||
pxbw-01623452|plyTicO|2021-09-20||
TEiQ-50228256|XlRNSHD|2022-06-08||
icRD-61545415|NtaZreE|2020-11-02||
XRpg-67387046|BvThweJ|2022-06-04||
DUnn-78099991|RgzxXXR|2020-11-06||
EMaR-16687229|XjwGadP|2020-12-28||
phwR-64453125|JNVobsC|2020-10-08||
xkVl-13796168|nTxbrGc|2021-08-25|2022-07-23|too_expensive
WnQm-26385970|ZbCxEtE|2022-06-23||
OvDM-72409021|KgVsFsW|2021-03-23||
xtsX-83223863|UnuBLFk|2021-08-04||
PDtt-91451701|vRSrlOB|2020-07-12||
nHns-85692182|JRIhemP|2020-10-04|2021-10-31|no_risk_for_theft
bdjC-25293603|FchVeic|2022-06-20||
IAls-55825946|VhXNOPL|2021-12-17||
WQUO-18907038|dibBYiY|2020-07-21|2021-09-20|no_risk_for_theft
hWJM-33056683|pUzZKAL|2020-09-28||
zOQK-96301008|VcUuVjf|2022-01-18||
CDYh-01272611|ijsUMXo|2020-08-06||
DRiT-76637495|kmPJxmX|2020-12-13||
FMnl-31989279|NXmfCqu|2020-06-07||
OwSv-10907828|qMJzxcP|2022-05-18||
ohdL-67781665|xsrCODn|2022-06-28||
EfqS-22735127|JuqqusG|2020-12-31||
CPxV-87196977|ofdQWlz|2020-10-07||
wuCF-53877785|cqGzgse|2020-12-15||
lZCC-24921349|cnkgCKh|2021-07-20||
jkRl-16248140|sWtDksc|2021-10-23||
Hnpj-65778033|ehMyTzB|2021-10-19|2022-01-16|premium_not_paid
fHhh-04061514|grVhEsZ|2022-03-17||
Spzv-18508344|HcciaCT|2022-06-12||
RJID-95783627|qtRloCP|2020-08-21|2022-04-11|no_risk_for_theft
etaV-88807633|HWetJdH|2020-07-28||
bTrF-05408184|vdLOmyb|2020-10-19||
qJpX-68199400|yNQDNpU|2020-08-13||
DjeQ-85376457|VETCGWZ|2020-06-02||
vbpH-77429763|kzHOzpK|2021-04-27||
lMxq-50086886|IYzhrLX|2020-09-05|2022-09-08|no_risk_for_theft
wXEJ-71734945|EiymBco|2021-10-26||
uCdX-75281823|fmCVyVd|2021-11-01||
zFXp-73091836|twbhQoR|2021-03-11||
eWNo-15363618|nmSVBKK|2021-02-26||
FJbh-71540505|OHRTWRL|2022-06-18||
NsUa-42157586|yiXInFr|2022-05-24||
lssL-43748461|KdHrkuf|2021-07-13||
dsGA-65506543|LDZHJUX|2021-05-14||
cBHn-89041594|RRlEHXV|2020-06-22||
iOAQ-20712462|IMOEGeV|2020-09-11||
JtCr-50962153|AbDirTH|2021-05-09||
PSmV-12069694|lsgrOMt|2020-06-21||
UHnP-97477848|dzproxC|2021-09-01||
MumN-23074162|QyEUKBM|2022-05-14||
fwIK-02766596|GZdaoKv|2022-02-21||
dYjx-33237236|jTAIewR|2022-06-20||
FrYx-97634982|AeOJxto|2021-01-12||
mJZq-57747110|dOVtAzX|2020-07-26|2022-10-30|too_expensive
tpOn-20849334|gcfuxYp|2021-11-15||
ZuxJ-60934302|nUeprCJ|2020-07-09||
vZHV-22384275|eMyvbEK|2020-08-28||
gpGH-75340925|qdQXLKQ|2020-12-14||
NeoV-41597308|WFfLkoN|2021-07-19||
Fxvy-98646620|RXqTNgd|2021-09-15||
Tlwo-40113549|LuhLwSu|2021-12-03||
eOsP-47337661|nPxngME|2021-11-25||
DhEX-74587997|fcyRHhN|2020-07-13||
dAJT-22904332|BCRFniJ|2022-01-09||
YFph-74755620|TpHNrkK|2021-05-11||
PwjW-98529613|GRspgsw|2021-05-03||
Vexl-41220510|UZEvuQB|2022-06-18||
jtBI-14304772|YAytgIX|2021-10-29|2021-10-29|premium_not_paid
bELo-19337897|kGoNvaD|2022-01-02||
JPcq-87043227|RNQVYLr|2020-08-29||
LVKZ-30773243|gKEOhSH|2021-11-27||
FHCA-60560897|VesduEx|2020-06-22||
WWPo-94356685|EBcIrCJ|2022-04-05||
vmLi-69038402|NKLcEpV|2022-03-28||
ImPr-78359027|miIcNCL|2021-05-10||
AZkY-53225819|ifdzlyu|2020-06-14||
wmJI-37182007|jnhlPxs|2021-06-23||
TPaR-37784027|UtjosKK|2020-08-03||
dHMr-33057177|jsnYJHt|2022-01-13||
aIpl-17868421|DzYlTkj|2021-02-01||
RqYo-01194427|kySMfVz|2021-01-01||
gTOO-89592337|XyhiznK|2021-08-12||
HMLl-60628268|pBXrfqU|2022-02-12||
VbsB-99075117|eJkDRkZ|2022-03-24|2022-04-24 00:00:00|premium_not_paid
mDvo-42646685|tbDEabc|2021-09-04||
NKMe-87543666|OkHvLkD|2020-10-07||
aaeY-19483002|KcPJYYl|2020-12-09||
XTJY-86559854|wTIpGwn|2022-03-12||
iirn-00299383|tWKiGLL|2021-09-15||
XlbN-71951950|RSdvfMo|2021-12-21||
CEmZ-08020588|yDyjwiA|2021-01-28||
qqcd-79109829|KIGGKih|2020-07-29||
HUJZ-22726251|pZqYEsW|2022-06-16||
cJsg-49555151|RMPiDIb|2021-03-02||
Ovhm-76700598|kxQjbrU|2021-01-17||
EKgm-08292677|sHTLSQD|2022-05-08||
RXIY-44576594|XPJjKFp|2020-08-08||
QgdT-03699062|GNOKHRz|2022-04-13||
GWiT-92942906|NwsjgHG|2020-07-17||
xfrY-26295363|OiEOTEP|2022-03-14||
xLHV-07529470|VXowxgA|2020-07-02||
qkKq-28827932|IYljKPO|2022-01-28||
mhkb-44137473|ASkRYap|2020-05-28||
KhRl-44782694|YPLluDf|2021-02-11||
xAcl-14157265|xWRlWHx|2022-06-13||
XKjC-53602935|jeBoHeh|2022-06-05||
KtOX-41563286|CyjHhqu|2021-12-22||
ZnSq-27276899|oeilQTT|2022-02-28||
CqsG-40389249|MvSfaqw|2021-01-04||
FtRT-36311256|TjeaAZV|2022-06-07||
FmXC-86569158|dBhhExj|2021-05-24||
meoZ-42112639|nshvUHh|2021-02-23||
PVJE-42493516|XuAtMSQ|2021-04-09||
tLcj-13934451|OlLLyYl|2021-05-31||
iJWy-67957354|FBLCSlh|2021-01-02||
rUDA-29628844|jgCoTEb|2022-06-12||
oISR-13967836|lPFyhZK|2021-11-20||
pswU-69345787|bYyPohF|2020-06-22||
TGKp-44070603|GzlMCsn|2020-08-05||
uOmY-88746581|aagzGPl|2022-01-09||
nOtY-89218166|YlDzDBS|2020-10-26||
IhXg-41532748|VrTVVSh|2022-03-20||
Atvk-68463520|jJKHGJc|2021-05-17||
Znag-93386196|ofANPUu|2021-09-29||
tmzp-85176162|jSUxGbo|2022-06-26||
DDmH-78625233|cvbXOeI|2021-03-17||
Illg-29101979|yCeHdIB|2021-05-26||
ZTmH-92154840|nkfPiaM|2021-12-08||
yexK-92459862|mQowCgB|2022-06-10||
uzFH-91302066|NvQmLds|2020-12-13||
gBux-03121878|rshiIbU|2022-04-05||
aHYt-39683714|AicUIUL|2022-06-18||
IiJN-53336792|NbomAfp|2021-05-25||
GKEC-37050536|YDOlizy|2020-09-02||
iWTc-43969198|HVyeMyF|2021-02-20||
hNlS-49285340|PaHGHQR|2021-02-23||
tgtF-09895520|KhSdIQP|2021-11-19||
vDUo-34695568|hTaMUGt|2021-03-06||
Wfpp-08068654|dJXWaLL|2020-06-24||
yZQT-90863315|QcUwwKH|2020-05-23||
zohl-41242196|nJNabpK|2020-08-07||
uwnB-75446647|mJUTxAR|2020-08-11|2021-08-10|premium_not_paid
LPQB-57718242|yoEKOMF|2020-05-17|2021-06-14|no_risk_for_theft
vlnQ-23504241|mnfQNES|2021-05-06|2021-08-18|premium_not_paid
QzVX-59726825|OdYDXSe|2021-09-11||
qKRo-16454393|AUyovOw|2020-12-21||
NAYL-51524964|FHwXodd|2021-06-10||
IccF-82790757|KJZMOEd|2022-01-31|2022-03-06|premium_not_paid
qXjD-14340631|TZFMstY|2020-12-25||
Atje-77863545|zEPWfEs|2022-01-17||
Geoa-94112623|HKeKeHf|2021-03-13||
YutN-07982258|yMMZbzI|2022-01-20|2022-02-20 00:00:00|no_risk_for_theft
hxiA-85750787|rTygjjb|2021-09-22||
yGZr-28321186|rvFMzlz|2021-11-24||
Hnwk-01739251|DAxOYnR|2021-01-05||
Qzkc-09981125|ltaXOnh|2020-06-05||
Mmnm-62125627|KkhABQH|2022-01-29||
FqZw-98543174|ZdudjtQ|2022-01-10||
KIsM-27751274|ZyPjPEE|2020-10-11||
KEia-45844528|YdcVege|2021-08-29||
pWnw-72025463|KlKrcRC|2021-07-21||
TKrl-03994715|HnkzdHk|2021-05-30||
eEZX-97525118|tmKVCVf|2022-06-02||
kZgU-44750969|TtowoyC|2022-01-15||
CrNl-82489658|HzaBvmO|2022-02-08||
iAXn-00031781|FjdVHcV|2021-04-28|2022-05-26|no_risk_for_theft
IHTc-50350761|etLmOoF|2021-02-14||
pCFS-73668338|KnFdVvX|2021-04-19||
vTIw-56032013|FurrkXh|2021-09-04||
AWsf-89837009|jnYPSmi|2021-10-29||
gJFB-65531821|gGufgzr|2021-09-26||
BAeJ-30999542|gjdMXZP|2022-06-01||
VGJD-87472429|oOMOkjC|2021-10-07||
ZGyb-83525249|zFLVyNw|2022-03-13||
ovLV-94984866|PYVgzZa|2021-08-13||
LsjS-81850057|cMgmlPE|2022-05-28||
eBEv-22277411|CCzDuYE|2022-03-03||
gzoH-66613936|JJeWQbK|2021-10-09||
kzUk-04349068|dUvOFmL|2021-08-20||
OBNi-85954370|gGmnEKf|2022-04-13||
dubv-94603251|xVOYpvZ|2020-12-12||
oHbR-69736637|yvxmxEw|2021-08-14||
IZVW-55350333|ytvQnyZ|2022-04-30||
hcsM-34131288|GSbuHuv|2020-08-08||
AKvh-36596295|hESyDEz|2022-02-08||
mslT-13448658|OLYPjkY|2022-02-14||
lyKb-90413962|VzhzHgZ|2020-08-26||
oAlL-21370444|mFuZsbc|2020-06-10||
nbjO-89847024|vXyBoTO|2022-05-18||
adFz-96610420|EjuNFwK|2020-12-30|2022-04-28|too_expensive
eYNJ-22944832|LVzLGfb|2022-05-30||
NSUN-47608290|dWVLHma|2021-09-29||
SXVc-27724460|PozaoVM|2021-01-19||
xIeY-95757332|rcOFrtD|2021-12-31||
EXtA-44897094|fONMTmu|2020-11-26||
UVyd-23444628|kaMVvOF|2021-12-05||
lCgb-42434909|WYTAvnC|2022-01-19||
iCLM-87066381|KIlJfdL|2021-02-08|2021-11-03|too_expensive
GfZY-40052629|JAAUeMC|2020-11-19||
gbDX-78133551|iVHHmIB|2021-06-12||
vfYB-35228615|sbZWIwF|2021-05-29||
ZLVg-69418042|wmgtzTC|2022-03-21||
GiAd-34626679|pvMdAQD|2020-05-27||
uMyn-66427003|EmRNKfO|2021-01-09||
hZyr-15042213|piayXoY|2020-06-03||
TFIQ-54361010|KDNCDiT|2022-02-24||
OiGR-86251766|sLguWcq|2020-07-24||
SwBf-61201018|wokIdNz|2021-01-25||
WgPj-33710323|fTlmJsB|2021-08-22||
iwoA-75554251|ATwFlui|2021-07-12||
FADT-74321843|vrzzWCW|2020-05-23||
jfud-83123579|kQiKFZr|2021-06-27||
izHX-14140800|RxfYaYm|2021-03-30||
qklK-78365651|GhEHgrr|2022-01-19||
medO-14644741|LfRGOGa|2020-05-21|2021-10-18|premium_not_paid
gvPC-39156224|QnsldoI|2020-09-18||
YSci-76698825|WYPLouF|2021-08-16||
kUvq-67151973|syhlbGD|2021-02-11||
SMJx-26002243|tLYYKcI|2020-07-24||
BCkg-96903607|SzBCJQE|2020-11-12||
nzUT-02396688|hkcfBbf|2021-01-30||
iYav-47700997|YSnBIey|2022-01-04||
ARSs-10531872|hYASGPV|2021-03-25||
rNyT-93216604|YluSZFb|2021-06-03||
RiGp-54096541|HrQqsyi|2021-04-30||
skkH-36772454|yhNfvSX|2020-05-22||
muPr-46654459|pklyeNn|2020-08-29||
heqq-33971668|EdNwrFv|2020-06-11||
